frame,time,Ball_z,Ball_y,Ball_x,Ball_rot_x,Ball_rot_y,Ball_rot_z,Ball_rot_w,Ball_ang_vel_x,Ball_ang_vel_y,Ball_ang_vel_z,Ball_vel_x,Ball_vel_y,Ball_vel_z,hxzywassaved_x,hxzywassaved_y,hxzywassaved_z,hxzywassaved_rot_x,hxzywassaved_rot_y,hxzywassaved_rot_z,hxzywassaved_rot_w,hxzywassaved_yaw,hxzywassaved_pitch,hxzywassaved_roll,hxzywassaved_ang_vel_x,hxzywassaved_ang_vel_y,hxzywassaved_ang_vel_z,hxzywassaved_vel_x,hxzywassaved_vel_y,hxzywassaved_vel_z,hxzywassaved_throttle,Juicy_Dom12_x,Juicy_Dom12_y,Juicy_Dom12_z,Juicy_Dom12_rot_x,Juicy_Dom12_rot_y,Juicy_Dom12_rot_z,Juicy_Dom12_rot_w,Juicy_Dom12_yaw,Juicy_Dom12_pitch,Juicy_Dom12_roll,Juicy_Dom12_ang_vel_x,Juicy_Dom12_ang_vel_y,Juicy_Dom12_ang_vel_z,Juicy_Dom12_vel_x,Juicy_Dom12_vel_y,Juicy_Dom12_vel_z,hxzywassaved_boost,Juicy_Dom12_boost,Juicy_Dom12_throttle,hxzywassaved_steer,Juicy_Dom12_steer,Juicy_Dom12_handbrake,hxzywassaved_handbrake,Juicy_Dom12_jump,Juicy_Dom12_double_jump,hxzywassaved_jump,hxzywassaved_double_jump,hxzywassaved_rot_jump,hxzywassaved_rot_double_jump,hxzywassaved_ang_vel_jump,hxzywassaved_ang_vel_double_jump,hxzywassaved_vel_jump,hxzywassaved_vel_double_jump,Juicy_Dom12_rot_jump,Juicy_Dom12_rot_double_jump,Juicy_Dom12_ang_vel_jump,Juicy_Dom12_ang_vel_double_jump,Juicy_Dom12_vel_jump,Juicy_Dom12_vel_double_jump
10,11.968739,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12.002071,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.035404,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12.068737,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,12.10207,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,12.135403,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12.1687355,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,12.202068,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,12.235401,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12.268734,92.75,0.0,0.0,2.6973983e-06,2.6973983e-06,2.6973983e-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4608.0,17.01,-0.0033744453,0.0033744453,0.707096,0.70710146,1.570788606637441,0.009544408852842957,-3.685062113040173e-08,-0.06,0.0,0.0,0.0,0.0,0.27,0.992,0.0,4608.0,17.01,-0.0033744453,-0.0033744453,0.70710146,-0.707096,-1.5708040503771021,0.009544408852842957,-3.685062113040173e-08,0.06,0.0,0.0,0.0,0.0,0.27,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
